row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,mask_output_path,visualization_output_path,device,model_type,category_name,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,area,bbox_w,bbox_h
10,000000.png,13,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000013_img_000000_cat_plastic_object.png,206.0,227.0,0.9598064422607422,0.9782901229030232,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0010_object_13_sam_point_mask.png,,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,11124.0,149.0,132.0
11,000000.png,14,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000014_img_000000_cat_box.png,405.0,276.0,0.9445356130599976,0.9220831651190956,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0011_object_14_sam_point_mask.png,,cuda,vit_b,box,reflective_metal,1,0,0,1,0,7402.0,134.0,175.0
12,000000.png,16,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000016_img_000000_cat_metal_part.png,402.0,164.0,0.8323029279708862,0.5332167832167832,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0012_object_16_sam_point_mask.png,,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,517.0,26.0,45.0
13,000002.png,21,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000021_img_000002_cat_plastic_object.png,360.0,33.0,0.7300088405609131,0.9265927977839336,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0013_object_21_sam_point_mask.png,,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,1368.0,35.0,68.0
14,000002.png,22,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000022_img_000002_cat_plastic_object.png,425.0,341.0,0.6742960214614868,0.7431506849315068,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0014_object_22_sam_point_mask.png,,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,2919.0,50.0,77.0
15,000002.png,23,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000023_img_000002_cat_metal_part.png,331.0,470.0,0.9262391328811646,0.6988235294117647,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0015_object_23_sam_point_mask.png,,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,822.0,59.0,27.0
16,000002.png,24,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000024_img_000002_cat_plastic_object.png,227.0,239.0,0.9529486298561096,0.988950276243094,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0016_object_24_sam_point_mask.png,,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,5065.0,112.0,89.0
17,000002.png,25,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000025_img_000002_cat_tool.png,314.0,199.0,0.981901228427887,0.9502831969792322,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0017_object_25_sam_point_mask.png,,cuda,vit_b,tool,partial_occlusion,1,1,1,1,0,3154.0,164.0,127.0
18,000002.png,26,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000026_img_000002_cat_cable.png,297.0,246.0,0.8809827566146851,0.8152985074626866,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0018_object_26_sam_point_mask.png,,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,1576.0,195.0,85.0
19,000002.png,27,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000027_img_000002_cat_metal_part.png,364.0,445.0,0.8681806325912476,0.9444781553398058,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0019_object_27_sam_point_mask.png,,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,3265.0,69.0,75.0
20,000002.png,28,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000028_img_000002_cat_box.png,262.0,123.0,0.9154754877090454,0.9783747481531228,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0020_object_28_sam_point_mask.png,,cuda,vit_b,box,partial_occlusion,1,1,1,1,0,7418.0,107.0,124.0
21,000002.png,29,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000029_img_000002_cat_connector.png,262.0,49.0,0.9659662842750548,0.9644165358451072,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0021_object_29_sam_point_mask.png,,cuda,vit_b,connector,partial_occlusion,1,1,1,1,0,1897.0,69.0,62.0
22,000002.png,30,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000030_img_000002_cat_glass_object.png,412.0,30.0,0.6096774935722351,0.4053379416282642,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0022_object_30_sam_point_mask.png,,cuda,vit_b,glass_object,partial_occlusion,1,1,1,1,0,5208.0,91.0,67.0
23,000002.png,31,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000031_img_000002_cat_cable.png,359.0,360.0,0.8433954119682312,0.7694477085781434,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0023_object_31_sam_point_mask.png,,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,4026.0,161.0,274.0
24,000002.png,32,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000032_img_000002_cat_cable.png,409.0,134.0,0.8200317025184631,0.7682878608145512,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0024_object_32_sam_point_mask.png,,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,2087.0,76.0,138.0
25,000002.png,33,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000033_img_000002_cat_metal_part.png,427.0,76.0,0.8323176503181458,0.7119791666666667,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0025_object_33_sam_point_mask.png,,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,2825.0,90.0,62.0
26,000002.png,34,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000034_img_000002_cat_metal_part.png,424.0,473.0,0.96290785074234,0.9233926128590972,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0026_object_34_sam_point_mask.png,,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,727.0,60.0,17.0
27,000002.png,35,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000035_img_000002_cat_box.png,220.0,342.0,0.9413892030715942,0.7891579327791832,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0027_object_35_sam_point_mask.png,,cuda,vit_b,box,partial_occlusion,1,1,1,1,0,13824.0,194.0,204.0
28,000002.png,36,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000036_img_000002_cat_robot_gripper.png,301.0,336.0,0.9586445689201356,0.8424899924580843,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0028_object_36_sam_point_mask.png,,cuda,vit_b,robot_gripper,partial_occlusion,1,1,1,1,0,16061.0,265.0,235.0
29,000002.png,37,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000037_img_000002_cat_robot_gripper.png,297.0,279.0,0.8864498734474182,0.9427043544690604,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0029_object_37_sam_point_mask.png,,cuda,vit_b,robot_gripper,partial_occlusion,1,1,1,1,0,1254.0,50.0,50.0
30,000003.png,40,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000040_img_000003_cat_plastic_object.png,384.0,433.0,0.7789194583892822,0.7592313489073097,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0030_object_40_sam_point_mask.png,,cuda,vit_b,plastic_object,small_parts,1,0,0,1,0,4081.0,83.0,80.0
31,000003.png,41,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000041_img_000003_cat_connector.png,258.0,202.0,0.8688151240348816,0.921015514809591,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0031_object_41_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,670.0,34.0,35.0
32,000003.png,42,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000042_img_000003_cat_metal_part.png,183.0,218.0,0.8713532090187073,0.7894080996884735,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0032_object_42_sam_point_mask.png,,cuda,vit_b,metal_part,small_parts,1,0,0,1,0,1325.0,38.0,46.0
33,000003.png,44,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000044_img_000003_cat_connector.png,168.0,204.0,0.9767354726791382,0.8744588744588745,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0033_object_44_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,412.0,25.0,42.0
34,000003.png,45,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000045_img_000003_cat_screw.png,447.0,354.0,0.9509757161140442,0.9182692307692308,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0034_object_45_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,208.0,20.0,14.0
35,000003.png,47,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000047_img_000003_cat_screw.png,233.0,151.0,0.9278790950775146,0.9267241379310344,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0035_object_47_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,231.0,20.0,19.0
36,000003.png,48,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000048_img_000003_cat_cable.png,342.0,167.0,0.8605022430419922,0.6917164816396243,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0036_object_48_sam_point_mask.png,,cuda,vit_b,cable,small_parts,1,0,0,1,0,1170.0,194.0,26.0
37,000003.png,49,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000049_img_000003_cat_screw.png,406.0,292.0,0.94827800989151,0.9289940828402368,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0037_object_49_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,336.0,25.0,19.0
38,000003.png,50,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000050_img_000003_cat_connector.png,294.0,140.0,0.9107434749603271,0.933431952662722,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0038_object_50_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,659.0,36.0,27.0
39,000003.png,51,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000051_img_000003_cat_connector.png,293.0,157.0,0.9023354053497314,0.9392523364485982,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0039_object_51_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,629.0,56.0,22.0
40,000003.png,53,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000053_img_000003_cat_screw.png,377.0,214.0,0.8213698267936707,0.937888198757764,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0040_object_53_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,315.0,28.0,16.0
41,000003.png,54,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000054_img_000003_cat_cable.png,268.0,215.0,0.8514542579650879,0.0481751824817518,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0041_object_54_sam_point_mask.png,,cuda,vit_b,cable,small_parts,1,0,0,1,0,1361.0,222.0,115.0
42,000003.png,55,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000055_img_000003_cat_connector.png,270.0,168.0,0.8283756375312805,0.8940609951845907,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0042_object_55_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,579.0,43.0,31.0
43,000003.png,56,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000056_img_000003_cat_connector.png,191.0,306.0,0.813124418258667,0.9527787867780604,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0043_object_56_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,2675.0,84.0,67.0
44,000003.png,57,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000057_img_000003_cat_screw.png,101.0,202.0,0.938279628753662,0.9447236180904522,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0044_object_57_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,199.0,17.0,14.0
45,000003.png,58,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000058_img_000003_cat_cable.png,175.0,295.0,0.5429442524909973,0.7890841813135985,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0045_object_58_sam_point_mask.png,,cuda,vit_b,cable,small_parts,1,0,0,1,0,1046.0,31.0,202.0
46,000003.png,59,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000059_img_000003_cat_metal_part.png,308.0,214.0,0.910733163356781,0.9627766599597586,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0046_object_59_sam_point_mask.png,,cuda,vit_b,metal_part,small_parts,1,0,0,1,0,6953.0,94.0,102.0
47,000003.png,60,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000060_img_000003_cat_screw.png,415.0,235.0,0.7243022918701172,0.376595744680851,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0047_object_60_sam_point_mask.png,,cuda,vit_b,screw,small_parts,1,0,0,1,0,184.0,24.0,11.0
48,000003.png,61,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000061_img_000003_cat_connector.png,185.0,267.0,0.7195920348167419,0.8053152039555006,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0048_object_61_sam_point_mask.png,,cuda,vit_b,connector,small_parts,1,0,0,1,0,1325.0,66.0,52.0
