row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,device,model_type,category_name,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,area,bbox_w,bbox_h,bbox_area,visible_ratio
10,000000.png,13,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000013_img_000000_cat_plastic_object.png,131.0,157.0,280.0,289.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0010_object_13_sam_mask.png,,0.9885474443435668,0.978161229441898,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,11124.0,149.0,132.0,19668.0,0.565588773642465
11,000000.png,14,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000014_img_000000_cat_box.png,342.0,158.0,476.0,333.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0011_object_14_sam_mask.png,,0.8995401263237,0.930635838150289,cuda,vit_b,box,reflective_metal,1,0,0,1,0,7402.0,134.0,175.0,23450.0,0.3156503198294243
13,000000.png,16,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000016_img_000000_cat_metal_part.png,386.0,147.0,412.0,192.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0013_object_16_sam_mask.png,,0.8808315992355347,0.8089053803339518,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,517.0,26.0,45.0,1170.0,0.44188034188034186
14,000002.png,21,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000021_img_000002_cat_plastic_object.png,344.0,0.0,379.0,68.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0014_object_21_sam_mask.png,,0.9797359108924866,0.9571122230164404,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,1368.0,35.0,68.0,2380.0,0.5747899159663865
15,000002.png,22,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000022_img_000002_cat_plastic_object.png,401.0,303.0,451.0,380.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0015_object_22_sam_mask.png,,0.9873400926589966,0.9743238616912016,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,2919.0,50.0,77.0,3850.0,0.7581818181818182
16,000002.png,23,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000023_img_000002_cat_metal_part.png,301.0,453.0,360.0,480.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0016_object_23_sam_mask.png,,0.9380069971084596,0.9203747072599532,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,822.0,59.0,27.0,1593.0,0.5160075329566854
17,000002.png,24,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000024_img_000002_cat_plastic_object.png,173.0,192.0,285.0,281.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0017_object_24_sam_mask.png,,0.9803910255432128,0.985984998026056,cuda,vit_b,plastic_object,partial_occlusion,1,1,1,1,0,5065.0,112.0,89.0,9968.0,0.5081260032102729
18,000002.png,25,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000025_img_000002_cat_tool.png,202.0,152.0,366.0,279.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0018_object_25_sam_mask.png,,0.8280068635940552,0.9420244437480414,cuda,vit_b,tool,partial_occlusion,1,1,1,1,0,3154.0,164.0,127.0,20828.0,0.1514307662761667
19,000002.png,26,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000026_img_000002_cat_cable.png,166.0,216.0,361.0,301.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0019_object_26_sam_mask.png,,0.969377875328064,0.94,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,1576.0,195.0,85.0,16575.0,0.09508295625942685
20,000002.png,27,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000027_img_000002_cat_metal_part.png,330.0,405.0,399.0,480.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0020_object_27_sam_mask.png,,0.9415900707244872,0.9531823745410036,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,3265.0,69.0,75.0,5175.0,0.6309178743961352
21,000002.png,28,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000028_img_000002_cat_box.png,207.0,61.0,314.0,185.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0021_object_28_sam_mask.png,,0.9917519688606262,0.9808702680856796,cuda,vit_b,box,partial_occlusion,1,1,1,1,0,7418.0,107.0,124.0,13268.0,0.5590895387398251
22,000002.png,29,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000029_img_000002_cat_connector.png,228.0,19.0,297.0,81.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0022_object_29_sam_mask.png,,0.9751620888710022,0.9622839182818228,cuda,vit_b,connector,partial_occlusion,1,1,1,1,0,1897.0,69.0,62.0,4278.0,0.4434315100514259
23,000002.png,30,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000030_img_000002_cat_glass_object.png,367.0,0.0,458.0,67.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0023_object_30_sam_mask.png,,0.9124027490615844,0.5870980091883614,cuda,vit_b,glass_object,partial_occlusion,1,1,1,1,0,5208.0,91.0,67.0,6097.0,0.8541905855338691
24,000002.png,31,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000031_img_000002_cat_cable.png,286.0,206.0,447.0,480.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0024_object_31_sam_mask.png,,0.6772527098655701,0.8779700115340254,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,4026.0,161.0,274.0,44114.0,0.09126354445300812
25,000002.png,32,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000032_img_000002_cat_cable.png,369.0,59.0,445.0,197.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0025_object_32_sam_mask.png,,0.9367175698280334,0.8054538054538054,cuda,vit_b,cable,partial_occlusion,1,1,1,1,0,2087.0,76.0,138.0,10488.0,0.19898932112890924
26,000002.png,33,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000033_img_000002_cat_metal_part.png,380.0,40.0,470.0,102.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0026_object_33_sam_mask.png,,0.9635124802589417,0.9232343909928352,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,2825.0,90.0,62.0,5580.0,0.5062724014336918
27,000002.png,34,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000034_img_000002_cat_metal_part.png,392.0,463.0,452.0,480.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0027_object_34_sam_mask.png,,0.9649938344955444,0.9493844049247606,cuda,vit_b,metal_part,partial_occlusion,1,1,1,1,0,727.0,60.0,17.0,1020.0,0.7127450980392157
28,000002.png,35,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000035_img_000002_cat_box.png,131.0,255.0,325.0,459.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0028_object_35_sam_mask.png,,0.9528621435165404,0.9633054030626986,cuda,vit_b,box,partial_occlusion,1,1,1,1,0,13824.0,194.0,204.0,39576.0,0.3493026076409945
29,000002.png,36,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000036_img_000002_cat_robot_gripper.png,169.0,219.0,434.0,454.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0029_object_36_sam_mask.png,,0.9752954244613647,0.8607083432374614,cuda,vit_b,robot_gripper,partial_occlusion,1,1,1,1,0,16061.0,265.0,235.0,62275.0,0.2579044560417503
30,000002.png,37,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000037_img_000002_cat_robot_gripper.png,272.0,255.0,322.0,305.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0030_object_37_sam_mask.png,,0.9567776322364808,0.9648711943793912,cuda,vit_b,robot_gripper,partial_occlusion,1,1,1,1,0,1254.0,50.0,50.0,2500.0,0.5016
31,000003.png,40,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000040_img_000003_cat_plastic_object.png,344.0,385.0,427.0,465.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0031_object_40_sam_mask.png,,0.980454683303833,0.9751687560270008,cuda,vit_b,plastic_object,small_parts,1,0,0,1,0,4081.0,83.0,80.0,6640.0,0.6146084337349398
32,000003.png,41,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000041_img_000003_cat_connector.png,241.0,186.0,275.0,221.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0032_object_41_sam_mask.png,,0.9536573886871338,0.946376811594203,cuda,vit_b,connector,small_parts,1,0,0,1,0,670.0,34.0,35.0,1190.0,0.5630252100840336
33,000003.png,42,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000042_img_000003_cat_metal_part.png,164.0,196.0,202.0,242.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0033_object_42_sam_mask.png,,0.9742447137832642,0.940868263473054,cuda,vit_b,metal_part,small_parts,1,0,0,1,0,1325.0,38.0,46.0,1748.0,0.7580091533180778
35,000003.png,44,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000044_img_000003_cat_connector.png,158.0,189.0,183.0,231.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0035_object_44_sam_mask.png,,0.9550492763519288,0.8796498905908097,cuda,vit_b,connector,small_parts,1,0,0,1,0,412.0,25.0,42.0,1050.0,0.3923809523809524
36,000003.png,45,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000045_img_000003_cat_screw.png,437.0,347.0,457.0,361.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0036_object_45_sam_mask.png,,0.9624707102775574,0.9282296650717704,cuda,vit_b,screw,small_parts,1,0,0,1,0,208.0,20.0,14.0,280.0,0.7428571428571429
38,000003.png,47,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000047_img_000003_cat_screw.png,224.0,142.0,244.0,161.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0038_object_47_sam_mask.png,,0.9542344212532043,0.927038626609442,cuda,vit_b,screw,small_parts,1,0,0,1,0,231.0,20.0,19.0,380.0,0.6078947368421053
39,000003.png,48,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000048_img_000003_cat_cable.png,231.0,156.0,425.0,182.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0039_object_48_sam_mask.png,,0.930955410003662,0.9225531914893615,cuda,vit_b,cable,small_parts,1,0,0,1,0,1170.0,194.0,26.0,5044.0,0.23195876288659795
40,000003.png,49,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000049_img_000003_cat_screw.png,394.0,282.0,419.0,301.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0040_object_49_sam_mask.png,,0.966832995414734,0.940828402366864,cuda,vit_b,screw,small_parts,1,0,0,1,0,336.0,25.0,19.0,475.0,0.7073684210526315
41,000003.png,50,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000050_img_000003_cat_connector.png,274.0,126.0,310.0,153.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0041_object_50_sam_mask.png,,0.96673983335495,0.9319526627218936,cuda,vit_b,connector,small_parts,1,0,0,1,0,659.0,36.0,27.0,972.0,0.6779835390946503
42,000003.png,51,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000051_img_000003_cat_connector.png,266.0,146.0,322.0,168.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0042_object_51_sam_mask.png,,0.965359091758728,0.9422776911076444,cuda,vit_b,connector,small_parts,1,0,0,1,0,629.0,56.0,22.0,1232.0,0.510551948051948
44,000003.png,53,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000053_img_000003_cat_screw.png,364.0,207.0,392.0,223.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0044_object_53_sam_mask.png,,0.9478376507759094,0.9254658385093169,cuda,vit_b,screw,small_parts,1,0,0,1,0,315.0,28.0,16.0,448.0,0.703125
45,000003.png,54,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000054_img_000003_cat_cable.png,166.0,164.0,388.0,279.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0045_object_54_sam_mask.png,,0.6178634762763977,0.6974656810982048,cuda,vit_b,cable,small_parts,1,0,0,1,0,1361.0,222.0,115.0,25530.0,0.053309831570701134
46,000003.png,55,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000055_img_000003_cat_connector.png,253.0,155.0,296.0,186.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0046_object_55_sam_mask.png,,0.9505609273910522,0.8971061093247589,cuda,vit_b,connector,small_parts,1,0,0,1,0,579.0,43.0,31.0,1333.0,0.43435858964741186
47,000003.png,56,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000056_img_000003_cat_connector.png,150.0,275.0,234.0,342.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0047_object_56_sam_mask.png,,0.9771463871002196,0.9693047337278108,cuda,vit_b,connector,small_parts,1,0,0,1,0,2675.0,84.0,67.0,5628.0,0.47530206112295664
48,000003.png,57,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000057_img_000003_cat_screw.png,93.0,196.0,110.0,210.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0048_object_57_sam_mask.png,,0.945987582206726,0.9396984924623116,cuda,vit_b,screw,small_parts,1,0,0,1,0,199.0,17.0,14.0,238.0,0.8361344537815126
