image_id,file_name,scene_id,scene_family,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,num_objects,camera_view,lighting_condition
105,000104.png,pilot_v2_scene_104,dynamic_scene,dynamic_scene,1,0,0,1,1,13,oblique,randomized
106,000105.png,pilot_v2_scene_105,reflective_metal,reflective_metal,1,0,0,1,0,17,oblique,randomized
107,000106.png,pilot_v2_scene_106,transparent_glass,transparent_glass,0,1,0,1,0,11,oblique,randomized
108,000107.png,pilot_v2_scene_107,partial_occlusion,partial_occlusion,1,1,1,1,0,16,front,randomized
109,000108.png,pilot_v2_scene_108,small_parts,small_parts,0,0,1,1,0,31,top,randomized
110,000109.png,pilot_v2_scene_109,dynamic_scene,dynamic_scene,1,1,0,1,1,17,oblique,randomized
111,000110.png,pilot_v2_scene_110,reflective_metal,reflective_metal,1,0,1,1,0,19,front,randomized
112,000111.png,pilot_v2_scene_111,transparent_glass,transparent_glass,1,1,0,1,0,15,oblique,randomized
113,000112.png,pilot_v2_scene_112,partial_occlusion,partial_occlusion,1,1,1,1,0,15,front,randomized
114,000113.png,pilot_v2_scene_113,small_parts,small_parts,1,0,1,1,0,45,top,randomized
115,000114.png,pilot_v2_scene_114,dynamic_scene,dynamic_scene,1,1,1,1,1,22,oblique,randomized
116,000115.png,pilot_v2_scene_115,reflective_metal,reflective_metal,1,0,1,1,0,22,front,randomized
117,000116.png,pilot_v2_scene_116,transparent_glass,transparent_glass,0,1,0,1,0,9,front,randomized
118,000117.png,pilot_v2_scene_117,partial_occlusion,partial_occlusion,1,1,1,1,0,19,front,randomized
119,000118.png,pilot_v2_scene_118,small_parts,small_parts,1,0,1,1,0,41,front,randomized
120,000119.png,pilot_v2_scene_119,dynamic_scene,dynamic_scene,1,1,1,1,1,18,front,randomized
121,000120.png,pilot_v2_scene_120,reflective_metal,reflective_metal,1,0,1,1,0,19,oblique,randomized
122,000121.png,pilot_v2_scene_121,transparent_glass,transparent_glass,1,1,0,1,0,9,top,randomized
123,000122.png,pilot_v2_scene_122,partial_occlusion,partial_occlusion,1,1,1,1,0,24,oblique,randomized
124,000123.png,pilot_v2_scene_123,small_parts,small_parts,1,0,0,1,0,33,oblique,randomized
125,000124.png,pilot_v2_scene_124,dynamic_scene,dynamic_scene,1,1,1,1,1,22,top,randomized
126,000125.png,pilot_v2_scene_125,reflective_metal,reflective_metal,1,0,1,1,0,15,front,randomized
127,000126.png,pilot_v2_scene_126,transparent_glass,transparent_glass,1,1,0,1,0,16,oblique,randomized
128,000127.png,pilot_v2_scene_127,partial_occlusion,partial_occlusion,1,1,1,1,0,15,oblique,randomized
129,000128.png,pilot_v2_scene_128,small_parts,small_parts,1,0,0,1,0,32,oblique,randomized
130,000129.png,pilot_v2_scene_129,dynamic_scene,dynamic_scene,1,1,0,1,1,20,top,randomized
131,000130.png,pilot_v2_scene_130,reflective_metal,reflective_metal,1,0,1,1,0,16,front,randomized
132,000131.png,pilot_v2_scene_131,transparent_glass,transparent_glass,1,1,0,1,0,17,oblique,randomized
133,000132.png,pilot_v2_scene_132,partial_occlusion,partial_occlusion,1,1,1,1,0,21,front,randomized
134,000133.png,pilot_v2_scene_133,small_parts,small_parts,0,0,1,1,0,37,top,randomized
135,000134.png,pilot_v2_scene_134,dynamic_scene,dynamic_scene,1,1,1,1,1,22,oblique,randomized
136,000135.png,pilot_v2_scene_135,reflective_metal,reflective_metal,1,0,0,1,0,13,oblique,randomized
137,000136.png,pilot_v2_scene_136,transparent_glass,transparent_glass,1,1,0,1,0,13,front,randomized
138,000137.png,pilot_v2_scene_137,partial_occlusion,partial_occlusion,1,1,1,1,0,21,top,randomized
139,000138.png,pilot_v2_scene_138,small_parts,small_parts,1,0,0,1,0,33,oblique,randomized
140,000139.png,pilot_v2_scene_139,dynamic_scene,dynamic_scene,1,1,1,1,1,23,oblique,randomized
141,000140.png,pilot_v2_scene_140,reflective_metal,reflective_metal,1,0,0,1,0,18,front,randomized
142,000141.png,pilot_v2_scene_141,transparent_glass,transparent_glass,1,1,1,1,0,16,oblique,randomized
143,000142.png,pilot_v2_scene_142,partial_occlusion,partial_occlusion,1,1,1,1,0,15,top,randomized
144,000143.png,pilot_v2_scene_143,small_parts,small_parts,1,0,1,1,0,42,top,randomized
145,000144.png,pilot_v2_scene_144,dynamic_scene,dynamic_scene,1,1,1,1,1,22,top,randomized
146,000145.png,pilot_v2_scene_145,reflective_metal,reflective_metal,1,0,1,1,0,14,front,randomized
147,000146.png,pilot_v2_scene_146,transparent_glass,transparent_glass,1,1,1,0,0,16,oblique,randomized
148,000147.png,pilot_v2_scene_147,partial_occlusion,partial_occlusion,1,1,1,1,0,23,front,randomized
149,000148.png,pilot_v2_scene_148,small_parts,small_parts,1,0,1,1,0,30,oblique,randomized
150,000149.png,pilot_v2_scene_149,dynamic_scene,dynamic_scene,1,0,0,1,1,17,oblique,randomized
151,000150.png,pilot_v2_scene_150,reflective_metal,reflective_metal,1,0,0,1,0,18,oblique,randomized
152,000151.png,pilot_v2_scene_151,transparent_glass,transparent_glass,1,1,1,1,0,12,front,randomized
153,000152.png,pilot_v2_scene_152,partial_occlusion,partial_occlusion,1,0,1,1,0,16,top,randomized
154,000153.png,pilot_v2_scene_153,small_parts,small_parts,0,0,1,1,0,35,front,randomized
155,000154.png,pilot_v2_scene_154,dynamic_scene,dynamic_scene,1,1,1,1,1,26,oblique,randomized
156,000155.png,pilot_v2_scene_155,reflective_metal,reflective_metal,1,0,0,1,0,13,oblique,randomized
157,000156.png,pilot_v2_scene_156,transparent_glass,transparent_glass,1,1,0,0,0,13,oblique,randomized
158,000157.png,pilot_v2_scene_157,partial_occlusion,partial_occlusion,1,1,1,1,0,19,oblique,randomized
159,000158.png,pilot_v2_scene_158,small_parts,small_parts,1,0,1,1,0,37,top,randomized
160,000159.png,pilot_v2_scene_159,dynamic_scene,dynamic_scene,1,1,1,1,1,21,top,randomized
161,000160.png,pilot_v2_scene_160,reflective_metal,reflective_metal,1,0,1,1,0,13,oblique,randomized
162,000161.png,pilot_v2_scene_161,transparent_glass,transparent_glass,1,1,1,1,0,14,top,randomized
163,000162.png,pilot_v2_scene_162,partial_occlusion,partial_occlusion,1,1,1,1,0,25,oblique,randomized
164,000163.png,pilot_v2_scene_163,small_parts,small_parts,1,0,0,1,0,30,front,randomized
165,000164.png,pilot_v2_scene_164,dynamic_scene,dynamic_scene,1,1,0,1,1,16,oblique,randomized
166,000165.png,pilot_v2_scene_165,reflective_metal,reflective_metal,1,0,1,1,0,18,oblique,randomized
167,000166.png,pilot_v2_scene_166,transparent_glass,transparent_glass,0,1,0,1,0,13,front,randomized
168,000167.png,pilot_v2_scene_167,partial_occlusion,partial_occlusion,1,1,1,1,0,22,top,randomized
169,000168.png,pilot_v2_scene_168,small_parts,small_parts,1,0,1,1,0,47,oblique,randomized
170,000169.png,pilot_v2_scene_169,dynamic_scene,dynamic_scene,1,1,0,1,1,16,oblique,randomized
171,000170.png,pilot_v2_scene_170,reflective_metal,reflective_metal,1,0,0,1,0,20,front,randomized
172,000171.png,pilot_v2_scene_171,transparent_glass,transparent_glass,1,1,1,1,0,17,oblique,randomized
173,000172.png,pilot_v2_scene_172,partial_occlusion,partial_occlusion,1,1,1,1,0,22,oblique,randomized
174,000173.png,pilot_v2_scene_173,small_parts,small_parts,1,0,1,1,0,27,front,randomized
175,000174.png,pilot_v2_scene_174,dynamic_scene,dynamic_scene,1,1,1,1,1,22,oblique,randomized
176,000175.png,pilot_v2_scene_175,reflective_metal,reflective_metal,1,0,0,1,0,15,top,randomized
177,000176.png,pilot_v2_scene_176,transparent_glass,transparent_glass,1,1,1,1,0,18,oblique,randomized
178,000177.png,pilot_v2_scene_177,partial_occlusion,partial_occlusion,1,1,1,1,0,25,front,randomized
179,000178.png,pilot_v2_scene_178,small_parts,small_parts,1,0,1,1,0,36,front,randomized
180,000179.png,pilot_v2_scene_179,dynamic_scene,dynamic_scene,1,1,1,1,1,25,top,randomized
181,000180.png,pilot_v2_scene_180,reflective_metal,reflective_metal,1,0,0,1,0,13,oblique,randomized
182,000181.png,pilot_v2_scene_181,transparent_glass,transparent_glass,1,1,1,1,0,19,oblique,randomized
183,000182.png,pilot_v2_scene_182,partial_occlusion,partial_occlusion,1,1,1,1,0,19,oblique,randomized
184,000183.png,pilot_v2_scene_183,small_parts,small_parts,1,0,0,1,0,33,oblique,randomized
185,000184.png,pilot_v2_scene_184,dynamic_scene,dynamic_scene,1,1,0,1,1,14,top,randomized
186,000185.png,pilot_v2_scene_185,reflective_metal,reflective_metal,1,0,1,1,0,24,front,randomized
187,000186.png,pilot_v2_scene_186,transparent_glass,transparent_glass,1,1,1,0,0,12,top,randomized
188,000187.png,pilot_v2_scene_187,partial_occlusion,partial_occlusion,1,1,1,1,0,24,oblique,randomized
189,000188.png,pilot_v2_scene_188,small_parts,small_parts,1,0,1,1,0,39,oblique,randomized
190,000189.png,pilot_v2_scene_189,dynamic_scene,dynamic_scene,0,1,0,1,1,17,front,randomized
191,000190.png,pilot_v2_scene_190,reflective_metal,reflective_metal,1,0,1,1,0,20,oblique,randomized
192,000191.png,pilot_v2_scene_191,transparent_glass,transparent_glass,0,1,1,1,0,15,front,randomized
193,000192.png,pilot_v2_scene_192,partial_occlusion,partial_occlusion,1,1,1,1,0,16,oblique,randomized
194,000193.png,pilot_v2_scene_193,small_parts,small_parts,1,0,1,1,0,34,top,randomized
195,000194.png,pilot_v2_scene_194,dynamic_scene,dynamic_scene,1,0,0,1,1,22,oblique,randomized
196,000195.png,pilot_v2_scene_195,reflective_metal,reflective_metal,1,0,1,1,0,15,oblique,randomized
197,000196.png,pilot_v2_scene_196,transparent_glass,transparent_glass,1,1,1,1,0,16,front,randomized
198,000197.png,pilot_v2_scene_197,partial_occlusion,partial_occlusion,1,1,1,1,0,19,top,randomized
199,000198.png,pilot_v2_scene_198,small_parts,small_parts,1,0,1,1,0,29,oblique,randomized
200,000199.png,pilot_v2_scene_199,dynamic_scene,dynamic_scene,1,1,0,1,1,21,front,randomized
201,000200.png,pilot_v2_scene_200,reflective_metal,reflective_metal,1,0,1,1,0,18,front,randomized
202,000201.png,pilot_v2_scene_201,transparent_glass,transparent_glass,1,1,1,0,0,18,top,randomized
203,000202.png,pilot_v2_scene_202,partial_occlusion,partial_occlusion,0,1,1,1,0,15,front,randomized
204,000203.png,pilot_v2_scene_203,small_parts,small_parts,1,0,0,1,0,33,top,randomized
205,000204.png,pilot_v2_scene_204,dynamic_scene,dynamic_scene,1,0,0,1,1,23,oblique,randomized
206,000205.png,pilot_v2_scene_205,reflective_metal,reflective_metal,1,0,1,1,0,24,oblique,randomized
207,000206.png,pilot_v2_scene_206,transparent_glass,transparent_glass,1,1,0,1,0,12,top,randomized
208,000207.png,pilot_v2_scene_207,partial_occlusion,partial_occlusion,1,1,1,1,0,20,oblique,randomized
209,000208.png,pilot_v2_scene_208,small_parts,small_parts,1,0,1,1,0,34,front,randomized
210,000209.png,pilot_v2_scene_209,dynamic_scene,dynamic_scene,1,1,1,1,1,19,top,randomized
211,000210.png,pilot_v2_scene_210,reflective_metal,reflective_metal,1,0,0,1,0,21,oblique,randomized
212,000211.png,pilot_v2_scene_211,transparent_glass,transparent_glass,1,1,1,1,0,21,oblique,randomized
213,000212.png,pilot_v2_scene_212,partial_occlusion,partial_occlusion,1,1,1,1,0,15,oblique,randomized
214,000213.png,pilot_v2_scene_213,small_parts,small_parts,1,0,0,1,0,28,top,randomized
215,000214.png,pilot_v2_scene_214,dynamic_scene,dynamic_scene,1,1,1,1,1,25,top,randomized
216,000215.png,pilot_v2_scene_215,reflective_metal,reflective_metal,1,0,1,1,0,18,oblique,randomized
217,000216.png,pilot_v2_scene_216,transparent_glass,transparent_glass,1,1,0,1,0,16,oblique,randomized
218,000217.png,pilot_v2_scene_217,partial_occlusion,partial_occlusion,1,1,1,1,0,21,oblique,randomized
219,000218.png,pilot_v2_scene_218,small_parts,small_parts,1,0,0,1,0,32,front,randomized
220,000219.png,pilot_v2_scene_219,dynamic_scene,dynamic_scene,1,1,1,1,1,25,front,randomized
221,000220.png,pilot_v2_scene_220,reflective_metal,reflective_metal,1,0,1,1,0,24,top,randomized
222,000221.png,pilot_v2_scene_221,transparent_glass,transparent_glass,0,1,1,0,0,12,oblique,randomized
223,000222.png,pilot_v2_scene_222,partial_occlusion,partial_occlusion,1,1,1,1,0,18,front,randomized
224,000223.png,pilot_v2_scene_223,small_parts,small_parts,0,0,1,1,0,32,front,randomized
225,000224.png,pilot_v2_scene_224,dynamic_scene,dynamic_scene,1,1,0,1,1,17,top,randomized
226,000225.png,pilot_v2_scene_225,reflective_metal,reflective_metal,1,0,0,1,0,20,oblique,randomized
227,000226.png,pilot_v2_scene_226,transparent_glass,transparent_glass,1,1,1,0,0,16,top,randomized
228,000227.png,pilot_v2_scene_227,partial_occlusion,partial_occlusion,1,1,1,1,0,16,top,randomized
229,000228.png,pilot_v2_scene_228,small_parts,small_parts,1,0,0,1,0,27,oblique,randomized
230,000229.png,pilot_v2_scene_229,dynamic_scene,dynamic_scene,1,0,1,1,1,20,front,randomized
231,000230.png,pilot_v2_scene_230,reflective_metal,reflective_metal,1,0,1,1,0,21,front,randomized
232,000231.png,pilot_v2_scene_231,transparent_glass,transparent_glass,1,1,1,1,0,14,front,randomized
233,000232.png,pilot_v2_scene_232,partial_occlusion,partial_occlusion,1,1,1,1,0,25,oblique,randomized
234,000233.png,pilot_v2_scene_233,small_parts,small_parts,1,0,0,1,0,36,front,randomized
235,000234.png,pilot_v2_scene_234,dynamic_scene,dynamic_scene,1,1,1,0,1,18,oblique,randomized
236,000235.png,pilot_v2_scene_235,reflective_metal,reflective_metal,1,0,1,1,0,17,front,randomized
237,000236.png,pilot_v2_scene_236,transparent_glass,transparent_glass,1,1,1,1,0,17,oblique,randomized
238,000237.png,pilot_v2_scene_237,partial_occlusion,partial_occlusion,1,1,1,1,0,18,top,randomized
239,000238.png,pilot_v2_scene_238,small_parts,small_parts,1,0,0,1,0,45,oblique,randomized
240,000239.png,pilot_v2_scene_239,dynamic_scene,dynamic_scene,1,1,0,1,1,18,oblique,randomized
241,000240.png,pilot_v2_scene_240,reflective_metal,reflective_metal,1,0,0,1,0,14,oblique,randomized
242,000241.png,pilot_v2_scene_241,transparent_glass,transparent_glass,1,1,1,1,0,22,top,randomized
243,000242.png,pilot_v2_scene_242,partial_occlusion,partial_occlusion,1,1,1,1,0,23,front,randomized
244,000243.png,pilot_v2_scene_243,small_parts,small_parts,0,0,1,1,0,28,oblique,randomized
245,000244.png,pilot_v2_scene_244,dynamic_scene,dynamic_scene,1,0,0,1,1,20,front,randomized
246,000245.png,pilot_v2_scene_245,reflective_metal,reflective_metal,1,0,1,1,0,18,oblique,randomized
247,000246.png,pilot_v2_scene_246,transparent_glass,transparent_glass,1,1,0,1,0,17,top,randomized
248,000247.png,pilot_v2_scene_247,partial_occlusion,partial_occlusion,1,0,1,1,0,16,top,randomized
249,000248.png,pilot_v2_scene_248,small_parts,small_parts,1,0,1,1,0,36,top,randomized
250,000249.png,pilot_v2_scene_249,dynamic_scene,dynamic_scene,1,1,1,1,1,20,oblique,randomized
251,000250.png,pilot_v2_scene_250,reflective_metal,reflective_metal,1,0,0,1,0,14,top,randomized
252,000251.png,pilot_v2_scene_251,transparent_glass,transparent_glass,1,1,0,1,0,14,front,randomized
253,000252.png,pilot_v2_scene_252,partial_occlusion,partial_occlusion,1,1,1,1,0,18,top,randomized
254,000253.png,pilot_v2_scene_253,small_parts,small_parts,1,0,1,1,0,28,oblique,randomized
255,000254.png,pilot_v2_scene_254,dynamic_scene,dynamic_scene,1,1,1,0,1,17,front,randomized
256,000255.png,pilot_v2_scene_255,reflective_metal,reflective_metal,1,0,1,1,0,20,oblique,randomized
257,000256.png,pilot_v2_scene_256,transparent_glass,transparent_glass,1,1,0,1,0,16,oblique,randomized
258,000257.png,pilot_v2_scene_257,partial_occlusion,partial_occlusion,1,1,1,1,0,19,oblique,randomized
259,000258.png,pilot_v2_scene_258,small_parts,small_parts,1,0,1,1,0,33,front,randomized
260,000259.png,pilot_v2_scene_259,dynamic_scene,dynamic_scene,1,1,1,1,1,24,oblique,randomized
261,000260.png,pilot_v2_scene_260,reflective_metal,reflective_metal,1,0,1,1,0,19,oblique,randomized
262,000261.png,pilot_v2_scene_261,transparent_glass,transparent_glass,1,1,1,1,0,21,oblique,randomized
263,000262.png,pilot_v2_scene_262,partial_occlusion,partial_occlusion,1,1,1,1,0,15,front,randomized
264,000263.png,pilot_v2_scene_263,small_parts,small_parts,1,0,1,1,0,25,front,randomized
265,000264.png,pilot_v2_scene_264,dynamic_scene,dynamic_scene,1,1,1,1,1,21,top,randomized
266,000265.png,pilot_v2_scene_265,reflective_metal,reflective_metal,1,0,0,1,0,15,top,randomized
