image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,area_ratio,bbox_area_ratio,bbox_width_ratio,bbox_height_ratio
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7533,397,127,529,259,453,198,0.024521,0.057581,0.207813,0.277083
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4464,189,164,360,308,257,248,0.014531,0.081185,0.268750,0.302083
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6115,134,15,248,124,178,54,0.019906,0.041178,0.179688,0.229167
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10793,43,115,197,264,110,201,0.035133,0.075684,0.242188,0.312500
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18870,274,239,488,368,380,306,0.061426,0.090983,0.335938,0.270833
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18270,141,154,397,285,274,216,0.059473,0.110430,0.401562,0.275000
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3741,103,133,191,194,147,162,0.012178,0.017962,0.139063,0.129167
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2910,424,129,504,192,463,160,0.009473,0.016875,0.126562,0.133333
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,19748,184,38,446,192,300,127,0.064284,0.132699,0.410938,0.322917
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7655,390,127,529,258,453,199,0.024919,0.060156,0.218750,0.275000
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4450,188,164,360,308,257,248,0.014486,0.081657,0.270313,0.302083
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6149,133,15,249,124,177,54,0.020016,0.041895,0.182812,0.229167
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10792,43,115,196,264,110,201,0.035130,0.075195,0.240625,0.312500
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18828,275,239,488,368,380,306,0.061289,0.090560,0.334375,0.270833
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18263,141,154,396,285,274,217,0.059450,0.110000,0.400000,0.275000
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3778,102,132,191,194,147,162,0.012298,0.018457,0.140625,0.131250
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2890,424,129,505,192,464,160,0.009408,0.017083,0.128125,0.133333
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,11,19743,236,13,462,110,350,59,0.064268,0.072415,0.354687,0.204167
10,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-01-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-01-55.png,result_2018-08-27-16-01-55.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16252,194,14,333,145,264,75,0.052904,0.060156,0.218750,0.275000
11,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-15.png,result_2018-08-27-16-02-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16276,193,14,334,145,264,75,0.052982,0.061016,0.221875,0.275000
11,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-15.png,result_2018-08-27-16-02-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,3,10191,324,13,428,131,373,68,0.033174,0.040674,0.164062,0.247917
12,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-37.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-37.png,result_2018-08-27-16-02-37.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16309,193,14,334,145,264,75,0.053089,0.061016,0.221875,0.275000
12,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-37.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-37.png,result_2018-08-27-16-02-37.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,3,9233,324,13,428,126,372,63,0.030055,0.038965,0.164062,0.237500
12,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-37.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-37.png,result_2018-08-27-16-02-37.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,4,12785,364,86,536,198,446,140,0.041618,0.063636,0.270313,0.235417
13,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-58.png,result_2018-08-27-16-02-58.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16296,194,14,334,145,264,75,0.053047,0.060586,0.220312,0.275000
13,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-58.png,result_2018-08-27-16-02-58.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,3,9252,325,13,428,128,372,63,0.030117,0.039271,0.162500,0.241667
13,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-58.png,result_2018-08-27-16-02-58.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,4,10857,363,86,536,170,448,133,0.035342,0.048145,0.271875,0.177083
13,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-58.png,result_2018-08-27-16-02-58.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,5,18050,355,167,545,274,445,221,0.058757,0.067148,0.298438,0.225000
14,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-25.png,result_2018-08-27-16-03-25.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,14691,193,14,334,136,262,69,0.047822,0.056855,0.221875,0.256250
14,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-25.png,result_2018-08-27-16-03-25.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,3,9111,325,13,428,128,372,62,0.029658,0.039271,0.162500,0.241667
14,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-25.png,result_2018-08-27-16-03-25.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,4,10883,364,86,536,170,448,133,0.035426,0.047868,0.270313,0.177083
14,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-25.png,result_2018-08-27-16-03-25.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,5,18053,355,167,545,274,445,221,0.058766,0.067148,0.298438,0.225000
