image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11006,397,127,529,268,456,192
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16371,183,164,378,308,281,232
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6999,132,15,249,149,177,63
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,182965,0,12,598,469,302,278
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,34125,184,38,451,192,312,110
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11111,397,127,529,268,457,192
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16395,182,164,378,308,281,232
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6154,134,15,249,124,178,54
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16502,43,115,200,265,126,192
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,163822,0,12,598,469,293,274
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,34104,184,38,451,193,312,110
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10370,398,127,529,258,457,188
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,15066,181,164,378,308,279,229
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6176,134,15,249,124,178,54
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16492,43,115,199,265,126,192
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,20869,275,239,487,368,376,302
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,161897,0,12,598,469,294,275
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,32380,183,38,451,192,316,107
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10433,397,127,529,259,457,188
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4441,191,164,360,308,257,249
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6143,134,15,249,124,178,54
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,14030,43,115,196,265,118,192
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18914,275,239,488,368,380,306
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18761,142,151,397,285,271,215
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,161696,0,12,598,469,294,275
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,32339,184,38,451,192,316,107
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10463,397,127,529,259,457,188
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4445,188,164,360,308,257,249
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6202,132,15,248,124,178,54
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10862,43,115,197,264,110,201
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18901,273,239,488,368,380,306
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18282,141,155,397,286,274,216
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3749,103,132,191,193,147,162
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,161789,0,12,598,469,294,275
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,32323,183,38,451,192,316,106
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7533,397,127,529,259,453,198
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4464,189,164,360,308,257,248
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6115,134,15,248,124,178,54
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10793,43,115,197,264,110,201
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18870,274,239,488,368,380,306
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18270,141,154,397,285,274,216
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3741,103,133,191,194,147,162
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2910,424,129,504,192,463,160
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,154196,0,12,598,469,290,287
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,19748,184,38,446,192,300,127
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7655,390,127,529,258,453,199
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4450,188,164,360,308,257,248
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6149,133,15,249,124,177,54
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10792,43,115,196,264,110,201
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18828,275,239,488,368,380,306
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18263,141,154,396,285,274,217
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3778,102,132,191,194,147,162
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2890,424,129,505,192,464,160
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,11,19743,236,13,462,110,350,59
10,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-01-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-01-55.png,result_2018-08-27-16-01-55.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,1,251648,0,12,598,469,297,250
10,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-01-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-01-55.png,result_2018-08-27-16-01-55.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16252,194,14,333,145,264,75
