image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,area_ratio,bbox_area_ratio,bbox_width_ratio,bbox_height_ratio,binary_mask_path
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10370,398,127,529,258,457,188,0.033757,0.056719,0.206250,0.275000,outputs/ocid_full/gt_binary_masks/00010_result_2018-08-27-15-56-34_obj3.png
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,15066,181,164,378,308,279,229,0.049043,0.093457,0.309375,0.302083,outputs/ocid_full/gt_binary_masks/00011_result_2018-08-27-15-56-34_obj4.png
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6176,134,15,249,124,178,54,0.020104,0.041536,0.181250,0.229167,outputs/ocid_full/gt_binary_masks/00012_result_2018-08-27-15-56-34_obj5.png
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16492,43,115,199,265,126,192,0.053685,0.077171,0.245312,0.314583,outputs/ocid_full/gt_binary_masks/00013_result_2018-08-27-15-56-34_obj6.png
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,20869,275,239,487,368,376,302,0.067933,0.090137,0.332813,0.270833,outputs/ocid_full/gt_binary_masks/00014_result_2018-08-27-15-56-34_obj7.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10433,397,127,529,259,457,188,0.033962,0.057581,0.207813,0.277083,outputs/ocid_full/gt_binary_masks/00015_result_2018-08-27-15-56-58_obj3.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4441,191,164,360,308,257,249,0.014456,0.080241,0.265625,0.302083,outputs/ocid_full/gt_binary_masks/00016_result_2018-08-27-15-56-58_obj4.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6143,134,15,249,124,178,54,0.019997,0.041536,0.181250,0.229167,outputs/ocid_full/gt_binary_masks/00017_result_2018-08-27-15-56-58_obj5.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,14030,43,115,196,265,118,192,0.045671,0.075697,0.240625,0.314583,outputs/ocid_full/gt_binary_masks/00018_result_2018-08-27-15-56-58_obj6.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18914,275,239,488,368,380,306,0.061569,0.090560,0.334375,0.270833,outputs/ocid_full/gt_binary_masks/00019_result_2018-08-27-15-56-58_obj7.png
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18761,142,151,397,285,271,215,0.061071,0.112500,0.400000,0.281250,outputs/ocid_full/gt_binary_masks/00020_result_2018-08-27-15-56-58_obj8.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10463,397,127,529,259,457,188,0.034059,0.057581,0.207813,0.277083,outputs/ocid_full/gt_binary_masks/00021_result_2018-08-27-15-57-26_obj3.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4445,188,164,360,308,257,249,0.014469,0.081657,0.270313,0.302083,outputs/ocid_full/gt_binary_masks/00022_result_2018-08-27-15-57-26_obj4.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6202,132,15,248,124,178,54,0.020189,0.041895,0.182812,0.229167,outputs/ocid_full/gt_binary_masks/00023_result_2018-08-27-15-57-26_obj5.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10862,43,115,197,264,110,201,0.035358,0.075684,0.242188,0.312500,outputs/ocid_full/gt_binary_masks/00024_result_2018-08-27-15-57-26_obj6.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18901,273,239,488,368,380,306,0.061527,0.091406,0.337500,0.270833,outputs/ocid_full/gt_binary_masks/00025_result_2018-08-27-15-57-26_obj7.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18282,141,155,397,286,274,216,0.059512,0.110430,0.401562,0.275000,outputs/ocid_full/gt_binary_masks/00026_result_2018-08-27-15-57-26_obj8.png
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3749,103,132,191,193,147,162,0.012204,0.017962,0.139063,0.129167,outputs/ocid_full/gt_binary_masks/00027_result_2018-08-27-15-57-26_obj9.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7533,397,127,529,259,453,198,0.024521,0.057581,0.207813,0.277083,outputs/ocid_full/gt_binary_masks/00028_result_2018-08-27-15-57-50_obj3.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4464,189,164,360,308,257,248,0.014531,0.081185,0.268750,0.302083,outputs/ocid_full/gt_binary_masks/00029_result_2018-08-27-15-57-50_obj4.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6115,134,15,248,124,178,54,0.019906,0.041178,0.179688,0.229167,outputs/ocid_full/gt_binary_masks/00030_result_2018-08-27-15-57-50_obj5.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10793,43,115,197,264,110,201,0.035133,0.075684,0.242188,0.312500,outputs/ocid_full/gt_binary_masks/00031_result_2018-08-27-15-57-50_obj6.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18870,274,239,488,368,380,306,0.061426,0.090983,0.335938,0.270833,outputs/ocid_full/gt_binary_masks/00032_result_2018-08-27-15-57-50_obj7.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18270,141,154,397,285,274,216,0.059473,0.110430,0.401562,0.275000,outputs/ocid_full/gt_binary_masks/00033_result_2018-08-27-15-57-50_obj8.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3741,103,133,191,194,147,162,0.012178,0.017962,0.139063,0.129167,outputs/ocid_full/gt_binary_masks/00034_result_2018-08-27-15-57-50_obj9.png
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2910,424,129,504,192,463,160,0.009473,0.016875,0.126562,0.133333,outputs/ocid_full/gt_binary_masks/00035_result_2018-08-27-15-57-50_obj10.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,19748,184,38,446,192,300,127,0.064284,0.132699,0.410938,0.322917,outputs/ocid_full/gt_binary_masks/00036_result_2018-08-27-15-58-44_obj2.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,7655,390,127,529,258,453,199,0.024919,0.060156,0.218750,0.275000,outputs/ocid_full/gt_binary_masks/00037_result_2018-08-27-15-58-44_obj3.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4450,188,164,360,308,257,248,0.014486,0.081657,0.270313,0.302083,outputs/ocid_full/gt_binary_masks/00038_result_2018-08-27-15-58-44_obj4.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6149,133,15,249,124,177,54,0.020016,0.041895,0.182812,0.229167,outputs/ocid_full/gt_binary_masks/00039_result_2018-08-27-15-58-44_obj5.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10792,43,115,196,264,110,201,0.035130,0.075195,0.240625,0.312500,outputs/ocid_full/gt_binary_masks/00040_result_2018-08-27-15-58-44_obj6.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18828,275,239,488,368,380,306,0.061289,0.090560,0.334375,0.270833,outputs/ocid_full/gt_binary_masks/00041_result_2018-08-27-15-58-44_obj7.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18263,141,154,396,285,274,217,0.059450,0.110000,0.400000,0.275000,outputs/ocid_full/gt_binary_masks/00042_result_2018-08-27-15-58-44_obj8.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3778,102,132,191,194,147,162,0.012298,0.018457,0.140625,0.131250,outputs/ocid_full/gt_binary_masks/00043_result_2018-08-27-15-58-44_obj9.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,10,2890,424,129,505,192,464,160,0.009408,0.017083,0.128125,0.133333,outputs/ocid_full/gt_binary_masks/00044_result_2018-08-27-15-58-44_obj10.png
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,11,19743,236,13,462,110,350,59,0.064268,0.072415,0.354687,0.204167,outputs/ocid_full/gt_binary_masks/00045_result_2018-08-27-15-58-44_obj11.png
10,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-01-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-01-55.png,result_2018-08-27-16-01-55.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16252,194,14,333,145,264,75,0.052904,0.060156,0.218750,0.275000,outputs/ocid_full/gt_binary_masks/00046_result_2018-08-27-16-01-55_obj2.png
11,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-15.png,result_2018-08-27-16-02-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16276,193,14,334,145,264,75,0.052982,0.061016,0.221875,0.275000,outputs/ocid_full/gt_binary_masks/00047_result_2018-08-27-16-02-15_obj2.png
11,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-15.png,result_2018-08-27-16-02-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,3,10191,324,13,428,131,373,68,0.033174,0.040674,0.164062,0.247917,outputs/ocid_full/gt_binary_masks/00048_result_2018-08-27-16-02-15_obj3.png
12,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-37.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-37.png,result_2018-08-27-16-02-37.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04,box,2,16309,193,14,334,145,264,75,0.053089,0.061016,0.221875,0.275000,outputs/ocid_full/gt_binary_masks/00049_result_2018-08-27-16-02-37_obj2.png
