image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id
13,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-58.png,result_2018-08-27-16-02-58.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
14,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-25.png,result_2018-08-27-16-03-25.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
15,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-03-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-03-50.png,result_2018-08-27-16-03-50.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
16,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-04-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-04-15.png,result_2018-08-27-16-04-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
17,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-04-53.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-04-53.png,result_2018-08-27-16-04-53.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
18,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-05-09.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-05-09.png,result_2018-08-27-16-05-09.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
19,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-05-49.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-05-49.png,result_2018-08-27-16-05-49.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
20,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-02-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-02-26.png,result_2018-08-23-15-02-26.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
21,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-02-42.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-02-42.png,result_2018-08-23-15-02-42.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
22,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-03-05.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-03-05.png,result_2018-08-23-15-03-05.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
23,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-03-35.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-03-35.png,result_2018-08-23-15-03-35.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
24,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-03-59.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-03-59.png,result_2018-08-23-15-03-59.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
25,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-04-29.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-04-29.png,result_2018-08-23-15-04-29.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
26,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-05-19.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-05-19.png,result_2018-08-23-15-05-19.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
27,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-05-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-05-44.png,result_2018-08-23-15-05-44.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
28,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-06-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-06-55.png,result_2018-08-23-15-06-55.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
29,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/rgb/result_2018-08-23-15-07-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq33/label/result_2018-08-23-15-07-26.png,result_2018-08-23-15-07-26.png,ARID10/floor/bottom/box/seq33,ARID10,floor,bottom,box,seq33
30,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-10-09.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-10-09.png,result_2018-08-23-15-10-09.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
31,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-10-45.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-10-45.png,result_2018-08-23-15-10-45.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
32,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-11-09.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-11-09.png,result_2018-08-23-15-11-09.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
33,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-11-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-11-36.png,result_2018-08-23-15-11-36.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
34,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-12-03.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-12-03.png,result_2018-08-23-15-12-03.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
35,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-12-31.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-12-31.png,result_2018-08-23-15-12-31.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
36,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-13-09.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-13-09.png,result_2018-08-23-15-13-09.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
37,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-13-57.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-13-57.png,result_2018-08-23-15-13-57.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
38,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-14-32.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-14-32.png,result_2018-08-23-15-14-32.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
39,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/rgb/result_2018-08-23-15-14-54.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq34/label/result_2018-08-23-15-14-54.png,result_2018-08-23-15-14-54.png,ARID10/floor/bottom/box/seq34,ARID10,floor,bottom,box,seq34
40,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-11-49.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-11-49.png,result_2018-08-24-17-11-49.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
41,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-12-33.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-12-33.png,result_2018-08-24-17-12-33.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
42,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-12-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-12-55.png,result_2018-08-24-17-12-55.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
43,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-13-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-13-34.png,result_2018-08-24-17-13-34.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
44,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-13-56.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-13-56.png,result_2018-08-24-17-13-56.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
45,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-14-18.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-14-18.png,result_2018-08-24-17-14-18.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
46,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-14-42.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-14-42.png,result_2018-08-24-17-14-42.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
47,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-15-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-15-36.png,result_2018-08-24-17-15-36.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
48,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-15-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-15-58.png,result_2018-08-24-17-15-58.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
49,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/rgb/result_2018-08-24-17-17-53.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq05/label/result_2018-08-24-17-17-53.png,result_2018-08-24-17-17-53.png,ARID10/floor/bottom/curved/seq05,ARID10,floor,bottom,curved,seq05
50,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-22-06.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-22-06.png,result_2018-08-24-17-22-06.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
51,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-22-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-22-25.png,result_2018-08-24-17-22-25.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
52,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-22-47.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-22-47.png,result_2018-08-24-17-22-47.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
53,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-23-08.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-23-08.png,result_2018-08-24-17-23-08.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
54,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-23-31.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-23-31.png,result_2018-08-24-17-23-31.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
55,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-23-47.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-23-47.png,result_2018-08-24-17-23-47.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
56,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-24-07.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-24-07.png,result_2018-08-24-17-24-07.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
57,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-24-25.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-24-25.png,result_2018-08-24-17-24-25.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
58,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-24-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-24-46.png,result_2018-08-24-17-24-46.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
59,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/rgb/result_2018-08-24-17-25-16.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq06/label/result_2018-08-24-17-25-16.png,result_2018-08-24-17-25-16.png,ARID10/floor/bottom/curved/seq06,ARID10,floor,bottom,curved,seq06
60,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-18-10.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-18-10.png,result_2018-08-23-17-18-10.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
61,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-18-32.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-18-32.png,result_2018-08-23-17-18-32.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
62,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-19-05.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-19-05.png,result_2018-08-23-17-19-05.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
63,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-19-33.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-19-33.png,result_2018-08-23-17-19-33.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
64,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-19-54.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-19-54.png,result_2018-08-23-17-19-54.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
65,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-20-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-20-15.png,result_2018-08-23-17-20-15.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
66,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-20-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-20-55.png,result_2018-08-23-17-20-55.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
67,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-21-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-21-23.png,result_2018-08-23-17-21-23.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
68,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-21-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-21-55.png,result_2018-08-23-17-21-55.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
69,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/rgb/result_2018-08-23-17-22-33.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq35/label/result_2018-08-23-17-22-33.png,result_2018-08-23-17-22-33.png,ARID10/floor/bottom/curved/seq35,ARID10,floor,bottom,curved,seq35
70,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/rgb/result_2018-08-23-17-25-13.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/label/result_2018-08-23-17-25-13.png,result_2018-08-23-17-25-13.png,ARID10/floor/bottom/curved/seq36,ARID10,floor,bottom,curved,seq36
71,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/rgb/result_2018-08-23-17-25-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/label/result_2018-08-23-17-25-36.png,result_2018-08-23-17-25-36.png,ARID10/floor/bottom/curved/seq36,ARID10,floor,bottom,curved,seq36
72,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/rgb/result_2018-08-23-17-25-59.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/curved/seq36/label/result_2018-08-23-17-25-59.png,result_2018-08-23-17-25-59.png,ARID10/floor/bottom/curved/seq36,ARID10,floor,bottom,curved,seq36
