sequence,objects
ARID10/floor/bottom/fruits/seq38,55
ARID10/floor/bottom/mixed/seq02,55
ARID10/floor/bottom/mixed/seq31,55
ARID10/floor/bottom/mixed/seq32,55
ARID10/floor/bottom/non-fruits/seq40,55
ARID10/floor/top/box/seq03,55
ARID10/floor/top/box/seq04,55
ARID10/floor/top/box/seq33,55
ARID10/floor/top/box/seq34,55
ARID10/floor/top/curved/seq05,55
ARID10/floor/top/curved/seq06,55
ARID10/floor/top/curved/seq35,55
ARID10/floor/top/curved/seq36,55
ARID10/floor/top/fruits/seq07,55
ARID10/floor/top/fruits/seq37,55
ARID10/floor/top/fruits/seq38,55
ARID10/floor/top/mixed/seq01,55
ARID10/floor/top/mixed/seq02,55
ARID10/floor/top/mixed/seq31,55
ARID10/floor/top/mixed/seq32,55
ARID10/floor/top/non-fruits/seq09,55
ARID10/floor/top/non-fruits/seq10,55
ARID10/floor/top/non-fruits/seq39,55
ARID10/floor/top/non-fruits/seq40,55
ARID10/table/bottom/box/seq05,55
ARID10/table/bottom/box/seq06,55
ARID10/table/bottom/box/seq15,55
ARID10/table/bottom/box/seq16,55
ARID10/table/bottom/curved/seq07,55
ARID10/table/bottom/curved/seq17,55
ARID10/table/bottom/curved/seq18,55
ARID10/table/bottom/fruits/seq09,55
ARID10/table/bottom/fruits/seq10,55
ARID10/table/bottom/fruits/seq19,55
ARID10/table/bottom/fruits/seq20,55
ARID10/table/bottom/mixed/seq03,55
ARID10/table/bottom/mixed/seq04,55
ARID10/table/bottom/mixed/seq13,55
ARID10/table/bottom/mixed/seq14,55
ARID10/table/bottom/non-fruits/seq11,55
ARID10/table/bottom/non-fruits/seq12,55
ARID10/table/bottom/non-fruits/seq21,55
ARID10/table/bottom/non-fruits/seq22,55
ARID10/table/top/box/seq05,55
ARID10/table/top/box/seq06,55
ARID10/table/top/box/seq15,55
ARID10/table/top/box/seq16,55
ARID10/table/top/curved/seq07,55
ARID10/table/top/curved/seq08,55
ARID10/table/top/curved/seq17,55
ARID10/table/top/curved/seq18,55
ARID10/table/top/fruits/seq09,55
ARID10/table/top/fruits/seq10,55
ARID10/table/top/fruits/seq19,55
ARID10/table/top/fruits/seq20,55
ARID10/table/top/mixed/seq03,55
ARID10/table/top/mixed/seq04,55
ARID10/table/top/mixed/seq13,55
ARID10/table/top/mixed/seq14,55
ARID10/table/top/non-fruits/seq11,55
ARID10/table/top/non-fruits/seq12,55
ARID10/table/top/non-fruits/seq21,55
ARID10/table/top/non-fruits/seq22,55
YCB10/floor/bottom/cuboid/seq03,55
YCB10/floor/bottom/cuboid/seq04,55
YCB10/floor/bottom/cuboid/seq09,55
YCB10/floor/bottom/cuboid/seq10,55
YCB10/floor/bottom/curved/seq05,55
YCB10/floor/bottom/curved/seq06,55
YCB10/floor/bottom/curved/seq11,55
YCB10/floor/bottom/curved/seq12,55
YCB10/floor/bottom/mixed/seq01,55
YCB10/floor/bottom/mixed/seq02,55
YCB10/floor/bottom/mixed/seq07,55
YCB10/floor/bottom/mixed/seq08,55
YCB10/floor/top/cuboid/seq03,55
YCB10/floor/top/cuboid/seq04,55
YCB10/floor/top/cuboid/seq10,55
YCB10/floor/top/curved/seq11,55
YCB10/floor/top/mixed/seq01,55
YCB10/table/bottom/cuboid/seq23,55
YCB10/table/bottom/cuboid/seq24,55
YCB10/table/bottom/cuboid/seq33,55
YCB10/table/bottom/cuboid/seq34,55
YCB10/table/bottom/curved/seq25,55
YCB10/table/bottom/curved/seq26,55
YCB10/table/bottom/curved/seq36,55
YCB10/table/bottom/mixed/seq21,55
YCB10/table/bottom/mixed/seq22,55
YCB10/table/bottom/mixed/seq32,55
YCB10/table/top/cuboid/seq23,55
YCB10/table/top/cuboid/seq24,55
YCB10/table/top/cuboid/seq34,55
YCB10/table/top/curved/seq26,55
YCB10/table/top/mixed/seq22,55
YCB10/table/top/mixed/seq31,55
ARID10/table/bottom/curved/seq08,54
YCB10/floor/top/cuboid/seq09,54
YCB10/floor/top/curved/seq05,54
YCB10/floor/top/mixed/seq07,54
YCB10/table/bottom/mixed/seq31,54
YCB10/table/top/curved/seq36,54
ARID10/floor/bottom/box/seq34,53
YCB10/floor/top/curved/seq12,53
YCB10/table/top/cuboid/seq33,53
YCB10/table/top/mixed/seq21,52
YCB10/floor/top/mixed/seq02,51
YCB10/table/top/curved/seq25,51
YCB10/floor/top/curved/seq06,50
YCB10/floor/top/mixed/seq08,50
YCB10/table/top/mixed/seq32,48
YCB10/table/top/curved/seq35,47
ARID10/floor/bottom/box/seq03,46
YCB10/table/bottom/curved/seq35,46
ARID10/floor/bottom/mixed/seq01,45
ARID10/floor/bottom/non-fruits/seq09,45
ARID10/floor/bottom/non-fruits/seq10,45
ARID10/floor/bottom/non-fruits/seq39,43
ARID10/floor/bottom/box/seq33,38
